address,price,details,bedrooms,bathrooms,sqft,property_type,postal_code,longitude,latitude,city,geocode_status
"82 Pittmann Cres, Ajax, ON L1S 3G5",849900,3 bds2 ba- House for sale,3,2,,House,L1S 3G5,-79.0187036,43.8248989,Ajax,OK
"Mccarrick St, Ajax, ON L1T 0J2",849900,5 bds4 ba- Condo for sale,5,4,,Condo,L1T 0J2,-79.0359369,43.8947922,Ajax,OK
"7 Mckie Ct, Ajax, ON L1T 3Z6",1099900,4 bds3 ba- House for sale,4,3,,House,L1T 3Z6,-79.0636595,43.8704332,Ajax,OK
"38 Marjoram Dr, Ajax, ON L1S 7P3",789800,3 bds4 ba- Townhouse for sale,3,4,,Townhouse,L1S 7P3,-78.9990927,43.8455357,Ajax,OK
"30 Brockman Cres, Ajax, ON L1T 4B3",899000,4 bds3 ba- House for sale,4,3,,House,L1T 4B3,-79.0417919,43.8692089,Ajax,OK
"63 Wright Cres, Ajax, ON L1S 6S9",879900,4 bds4 ba- House for sale,4,4,,House,L1S 6S9,-79.0335833,43.8523582,Ajax,OK
"8 Dewsnap Rd, Ajax, ON L1Z 0S4",999008,4 bds3 ba- House for sale,4,3,,House,L1Z 0S4,-79.0084509,43.8773565,Ajax,OK
"22 Gates Cres, Ajax, ON L1S 7C7",749000,3 bds2 ba- Townhouse for sale,3,2,,Townhouse,L1S 7C7,-79.0023173,43.836781,Ajax,OK
"70 Michaelman Rd, Ajax, ON L1S 0C8",799000,4 bds4 ba- Townhouse for sale,4,4,,Townhouse,L1S 0C8,-79.0070001,43.8432422,Ajax,OK
"168 Angus Dr, Ajax, ON L1S 5E1",849000,3 bds3 ba- House for sale,3,3,,House,L1S 5E1,-79.014906,43.8582589,Ajax,OK
"100 Atherton Ave, Ajax, ON L1T 0L3",849000,3 bds3 ba- Townhouse for sale,3,3,,Townhouse,L1T 0L3,-79.0543288,43.8843552,Ajax,OK
"15 Chaston Rd, Ajax, ON L1Z 0M6",599999,2 bds1 ba- Townhouse for sale,2,1,,Townhouse,L1Z 0M6,-79.008205,43.8823993,Ajax,OK
"41 Dreyer Dr, Ajax, ON L1S 1J3",879900,3 bds5 ba- House for sale,3,5,,House,L1S 1J3,-79.0091383,43.8317964,Ajax,OK
"11 Quarrie Ln, Ajax, ON L1T 0N1",785000,3 bds3 ba- Townhouse for sale,3,3,,Townhouse,L1T 0N1,-79.0407372,43.8944306,Ajax,OK
"25 Cumberland Ln #614, Ajax, ON L1S 7K1",599900,2 bds2 ba- Condo for sale,2,2,,Condo,L1S 7K1,-79.0132896,43.8226091,Ajax,OK
"65 Clements Rd E, Ajax, ON L1S 1L3",749000,4 bds2 ba- House for sale,4,2,,House,L1S 1L3,-79.0097861,43.8370511,Ajax,OK
"78 Oswell Dr, Ajax, ON L1Z 0L5",899900,3 bds3 ba- House for sale,3,3,,House,L1Z 0L5,-79.0274362,43.8925413,Ajax,OK
"54 Lincoln St, Ajax, ON L1S 6C9",899888,3 bds2 ba- House for sale,3,2,,House,L1S 6C9,-79.0517891,43.8537275,Ajax,OK
"53 Mullen Dr, Ajax, ON L1T 2A6",898888,4 bds3 ba- House for sale,4,3,,House,L1T 2A6,-79.0513866,43.8713992,Ajax,OK
"822 Audley Rd N, Ajax, ON L1Z 0S9",799990,4 bds4 ba- House for sale,4,4,,House,L1Z 1W2,-79.0011876,43.8791729,Ajax,OK
"11 Large Cres, Ajax, ON L1T 2R6",839900,3 bds4 ba- House for sale,3,4,,House,L1T 2R5,-79.0456379,43.8707848,Ajax,OK
"68 Cooperage Ln, Ajax, ON L1S 0E8",619990,3 bds2 ba- Townhouse for sale,3,2,,Townhouse,L1S 5C3,-79.0142225,43.8572988,Ajax,OK
"3 Gregory Rd, Ajax, ON L1S 3B2",879000,3 bds2 ba- House for sale,3,2,,House,L1S 3B2,-79.0042508,43.8290032,Ajax,OK
"10 Bradbury Cres, Ajax, ON L1T 4H4",998000,4 bds3 ba- House for sale,4,3,,House,L1T 4H4,-79.0362854,43.8791709,Ajax,OK
"54 Tansley Cres, Ajax, ON L1Z 1Y6",769900,3 bds3 ba- House for sale,3,3,,House,L1Z 1Y6,-79.014067,43.9009869,Ajax,OK
"193 Lake Driveway W #308, Ajax, ON L1S 7H8",479900,2 bds2 ba- Condo for sale,2,2,,Condo,L1S 7H8,-79.0355039,43.8246251,Ajax,OK
"45 Bevan Cres, Ajax, ON L1T 4P4",1349000,4 bds5 ba- House for sale,4,5,,House,L1T 4P4,-79.0463861,43.8806324,Ajax,OK
"3 Brider Cres, Ajax, ON L1Z 0M3",1199400,4 bds5 ba- House for sale,4,5,,House,L1Z 0M3,-79.0100926,43.8910177,Ajax,OK
"44 Lovegrove Ln #44, Ajax, ON L1S 0E7",529000,2 bds2 ba- Townhouse for sale,2,2,,Townhouse,L1S 0E7,-79.01648,43.86146,Ajax,OK
"26 Tresher Ct, Ajax, ON L1T 2N2",798800,3 bds3 ba- House for sale,3,3,,House,L1T 2N2,-79.0420708,43.8710611,Ajax,OK
"182 Kingston Rd W #22, Ajax, ON L1T 0M9",549900,2 bds2 ba- Townhouse for sale,2,2,,Townhouse,L1T 4K8,-79.0350411,43.8595529,Ajax,OK
"29 Arfield Ave, Ajax, ON L1Z 0G2",998000,4 bds4 ba- House for sale,4,4,,House,L1Z 0G2,-79.011561,43.8905627,Ajax,OK
"32 Carr Dr, Ajax, ON L1T 3E4",899000,3 bds4 ba- House for sale,3,4,,House,L1T 3E4,-79.0335694,43.8623217,Ajax,OK
"6 Smales Dr, Ajax, ON L1Z 1G5",699000,3 bds3 ba- House for sale,3,3,,House,L1Z 1G5,-79.0296506,43.8769673,Ajax,OK
"28 Slater Cres, Ajax, ON L1S 3J3",699000,3 bds2 ba- House for sale,3,2,,House,L1S 3J3,-79.0187477,43.826712,Ajax,OK
"11 Twilley Ln, Ajax, ON L1S 7N2",699000,4 bds3 ba- House for sale,4,3,,House,L1S 7N2,-79.0157054,43.8608522,Ajax,OK
"10 Cooperage Ln, Ajax, ON L1S 0E8",649900,3 bds2 ba- House for sale,3,2,,House,L1S 5C3,-79.0146334,43.8586123,Ajax,OK
"19 Plumridge Ct, Ajax, ON L1S 3Z8",725500,3 bds3 ba- House for sale,3,3,,House,L1S 3Z8,-79.0153714,43.8386751,Ajax,OK
"33 Mansbridge Cres, Ajax, ON L1Z 1S3",899800,3 bds4 ba- House for sale,3,4,,House,L1Z 1S3,-79.0098233,43.8854369,Ajax,OK
"81 Whitlock Cres, Ajax, ON L1Z 2B1",799000,3 bds3 ba- House for sale,3,3,,House,L1Z 2B1,-79.0056598,43.8865027,Ajax,OK
"4 Brooks Rd, Ajax, ON L1S 6G3",799900,3 bds4 ba- House for sale,3,4,,House,L1S 6G3,-79.0490324,43.8520063,Ajax,OK
"45 Banner Cres, Ajax, ON L1S 3S8",799900,3 bds3 ba- House for sale,3,3,,House,L1S 3S8,-79.0248854,43.8260517,Ajax,OK
"49 Elliottglen Dr, Ajax, ON L1Z 0H1",749000,3 bds3 ba- House for sale,3,3,,House,L1Z 0G9,-79.0280935,43.8961359,Ajax,OK
"70 Tansley Cres, Ajax, ON L1Z 1Y6",749000,3 bds3 ba- House for sale,3,3,,House,L1Z 1Y6,-79.0138903,43.9004326,Ajax,OK
"39 Cooperage Ln, Ajax, ON L1S 0E8",699999,3 bds2 ba- Townhouse for sale,3,2,,Townhouse,L1S 0E8,-79.0142368,43.857963,Ajax,OK
"34 Andrea Rd, Ajax, ON L1S 3V7",749000,3 bds2 ba- House for sale,3,2,,House,L1S 3V7,-79.0125212,43.8246151,Ajax,OK
"349 Old Harwood Ave, Ajax, ON L1Z 1H6",989900,5 bds4 ba- House for sale,5,4,,House,L1Z 1H6,-79.0283144,43.8678427,Ajax,OK
"17 Wilsongary Cir, Ajax, ON L1T 0G8",999900,4 bds4 ba- House for sale,4,4,,House,L1T 0G8,-79.0336227,43.8894855,Ajax,OK
"80 Root Cres, Ajax, ON L1T 4L6",699900,3 bds3 ba- House for sale,3,3,,House,L1T 4L6,-79.0348213,43.8843463,Ajax,OK
"32 Glynn Rd, Ajax, ON L1S 2C3",1099000,4 bds5 ba- House for sale,4,5,,House,L1S 2C3,-79.0215716,43.8559152,Ajax,OK
"68 Boyd Cres, Ajax, ON L1Z 1X7",835900,3 bds3 ba- House for sale,3,3,,House,L1Z 1X7,-79.011594,43.9011155,Ajax,OK
"59 Tipton Cres, Ajax, ON L1T 2K8",799900,4 bds4 ba- House for sale,4,4,,House,L1T 2K8,-79.0419041,43.8678823,Ajax,OK
"10 Mccarrick St, Ajax, ON L1T 0J2",998000,4 bds4 ba- House for sale,4,4,,House,L1T 0J2,-79.0360107,43.8949833,Ajax,OK
"25 Stockbridge Cres, Ajax, ON L1T 2H2",699000,3 bds2 ba- House for sale,3,2,,House,L1T 2H2,-79.0430068,43.8636855,Ajax,OK
"57 Formosa Ave, Ajax, ON L1Z 0N1",899900,4 bds4 ba- House for sale,4,4,,House,L1Z 0N1,-79.0041462,43.8825278,Ajax,OK
"48 Carpendale Cres, Ajax, ON L1Z 2B7",899000,3 bds4 ba- House for sale,3,4,,House,L1Z 2B7,-79.0101018,43.8942345,Ajax,OK
"32 Boyd Cres, Ajax, ON L1Z 1Y3",859000,3 bds4 ba- House for sale,3,4,,House,L1Z 1Y3,-79.0132721,43.9017206,Ajax,OK
"9 Pridham Ct, Ajax, ON L1S 3Z5",899989,3 bds4 ba- House for sale,3,4,,House,L1S 3Z5,-79.0260785,43.8283116,Ajax,OK
"6 Hirons Dr, Ajax, ON L1S 7N4",999000,4 bds3 ba- House for sale,4,3,,House,L1S 7N4,-79.003664,43.8394758,Ajax,OK
"944 Audley Rd N, Ajax, ON L1Z 0K6",729000,3 bds3 ba- Townhouse for sale,3,3,,Townhouse,L1Z 0K6,-79.003052,43.8834553,Ajax,OK
"1 Pottle Ln #66, Ajax, ON L1S 7S4",738000,3 bds2 ba- Condo for sale,3,2,,Condo,L1S 7S4,-78.998693,43.846911,Ajax,OK
"43 Napiermews Dr, Ajax, ON L1T 0B2",995000,3 bds2 ba- House for sale,3,2,,House,L1T 0C9,-79.0538299,43.8779632,Ajax,OK
"20 Tipton Cres, Ajax, ON L1T 2L1",849900,3 bds4 ba- House for sale,3,4,,House,L1T 2L1,-79.0423578,43.8676588,Ajax,OK
"54 Mccourt Dr, Ajax, ON L1Z 0P1",949800,3 bds3 ba- House for sale,3,3,,House,L1Z 0C6,-78.9875192,43.8439014,Ajax,OK
"132 Old Harwood Ave, Ajax, ON L1T 4W4",950000,4 bds2 ba- House for sale,4,2,,House,L1T 0P4,-79.0270675,43.8636093,Ajax,OK
"3 Sidaway Ln, Ajax, ON L1T 4W4",727900,3 bds3 ba- Townhouse for sale,3,3,,Townhouse,L1T 0P4,-79.027227,43.8631429,Ajax,OK
"11 Winrow Gate, Ajax, ON L1T 0G3",749000,3 bds4 ba- Townhouse for sale,3,4,,Townhouse,L1T 0G3,-79.0278987,43.8883557,Ajax,OK
